filer,filingYear,sourceName,address,cityAndState,amount,reimbursedAmount,onDate,throughDate,giftOrIncome,madeASpeechParticipatedInPanel,giftTravelDestination,otherDescription,formUrl,legislatorDigitalDemocracyUrl
Sabrina Cervantes,2023,EMILY's List,1800 M St. NW Suite 375N,"Washington, DC 20036",1050.9,0,2023-05-15,2023-05-16,Gift,true,"901 Wharf St. SW, Washington, DC 20024",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e0d804fe-357b-475e-bc29-c166c93ba04d.pdf,https://digitaldemocracy.calmatters.org/legislators/sabrina-cervantes-36813
Sabrina Cervantes,2023,Women in California Leadership,1787 Tribute Rd. Suite K,"Sacramento, CA 95815",228.83,0,2023-02-16,2023-02-16,Gift,true,"27850 County Road 26, Winters, CA 95694",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e0d804fe-357b-475e-bc29-c166c93ba04d.pdf,https://digitaldemocracy.calmatters.org/legislators/sabrina-cervantes-36813
Phillip Chen,2021,California State University,"916 L STREET, SUITE 1160","SACRAMENTO, CA",144,0,2021-06-30,2021-07-01,Gift,false,"CALIFORNIA STATE UNIVERSITY, LEG. BUSINESS",parking on leg biz,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5d9daf60-0e52-457f-9475-331ccba88675.pdf,https://digitaldemocracy.calmatters.org/legislators/phillip-chen-100931
Phillip Chen,2021,John Wayne Airport,3160 AIRWAY AVENUE,"COSTA MESA, CA",600,0,2021-01-01,2021-12-31,Gift,false,SACRAMENTO-LEGISLATIVE BUSINESS,parking on leg biz,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5d9daf60-0e52-457f-9475-331ccba88675.pdf,https://digitaldemocracy.calmatters.org/legislators/phillip-chen-100931
Phillip Chen,2023,California State University,"916 L Street, Suite 1160","Sacramento, CA",288,0,2023-07-01,2023-06-30,Gift,,"California State University, Legislative Business",Parking while on Legislative Business,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/76b486f3-bd80-4319-8421-a2807bacce3f.pdf,https://digitaldemocracy.calmatters.org/legislators/phillip-chen-100931
Phillip Chen,2023,John Wayne Airport,3160 Airway Avenue,"Costa Mesa, CA",600,0,2023-01-01,2023-12-31,Gift,,,Parking while on Legislative Business,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/76b486f3-bd80-4319-8421-a2807bacce3f.pdf,https://digitaldemocracy.calmatters.org/legislators/phillip-chen-100931
Steven Choi,2021,John Wayne Airport,3160 Airway Ave,"Costa Mesa, CA 92626",550,0,2021-01-20,2021-12-31,Gift,false,Sacramento,.Parking for legislative travel.,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8a8da3e0-e42e-4e18-86b5-01a84c5aade5.pdf,https://digitaldemocracy.calmatters.org/legislators/steven-choi
Damon Connolly,2023,Asian and Pacific Islander Legislative Caucus Foundation,1787 Tribute Road ,"Sacramento, CA 95815 ",53.94,0,2023-01-19,2023-01-19,Gift,false,"Sausalito, California",travel related to bay area caucus summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,Barona Band Of Mission Indians,1932 Wildcat Canyon Road ,"Lakeside, CA 92040 ",89,0,2023-05-11,2023-05-12,Gift,false,"Lakeside, California",travel related to tour of reservation,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,California Center for Construction Education,265 Hegenberger Road ,"Oakland, CA 94621",545,0,2023-01-31,2023-01-31,Gift,false,"Las Vegas, Nevada",travel related to educational tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,California Dental Association Foundation,"1201 K Street, 15th Floor","Sacramento, CA 95814 ",3129.82,0,2023-10-12,2023-10-15,Gift,false,"New York, New York",travel related to oral education forum,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,California Environmental Voters,"350 Frank H. Ogawa Plaza, Suite 1100 ","Oakland, CA 94612",2065,0,2023-04-27,2023-04-29,Gift,false,"Napa, California",travel related to annual climate summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,California Foundation on the Environment and the Economy,"Pier 35, Suite 202 ","San Francisco, CA 94133",779.09,0,2023-02-09,2023-02-10,Gift,,"Napa, California",travel related to energy conference,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,California Foundation on the Environment and the Economy,920 11th Street ,"Sacramento, CA 95814",815.56,0,2023-12-07,2023-12-08,Gift,false,"Laguna Nigel, California",travel related to the water conference,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,California Issues Forum,1717 I Street ,"Sacramento, CA 95811 ",361.13,0,2023-05-04,2023-05-05,Gift,true,"Calipatria, California",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,California State Association of Electrical Workers,"297 N. Marengo Avenue Pasadena, CA 91101 ","Pasadena, CA 91101 ",67.45,0,2023-01-19,2023-01-19,Gift,false,"Sausalito, California",travel related to bay area caucus summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,California Teachers Association,1118 10th Street ,"Sacramento, CA 95814 ",64.45,0,2023-01-19,2023-01-19,Gift,false,"Sausalito, California",travel related to bay area caucus summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,JK Irwin Foundation,2500 Steiner Street #8 ,"San Francisco, CA 94115 ",1928.54,0,2023-02-02,2023-02-04,Gift,false,"San Diego, California ",travel related to retreat and policy summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,United Food and Commercial Workers Western States Council,8530 Stanton Avenue ,"Buena Park, CA 90620 ",64.45,0,2023-01-19,2023-01-19,Gift,false,"Sausalito, California",travel related to bay area caucus summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Damon Connolly,2023,Viejas Band of Kumeyaay Indians,5000 Willows Road ,"Alpine, CA 91901",225.29,0,2023-05-12,2023-05-12,Gift,false,"Alpine, California",travel related to tour of reservation,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://digitaldemocracy.calmatters.org/legislators/damon-connolly-165425
Ken Cooley,2021,California Issues Forum,1717 1 Street,"Sacramento, CA 95811",1135,0,2021-12-13,2021-12-15,Gift,true," La Jolla, California",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8a54d8f2-c791-4e9f-8bda-2a5d739c5b46.pdf,https://digitaldemocracy.calmatters.org/legislators/ken-cooley
Jim Cooper,2021,Almond Alliance of CA,1211 L Street,"Modesto, CA",514.5,0,2021-05-25,2021-05-27,Gift,true,"Las Vegas, Nevada",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,California Biotechnology Foundation,1215 K St Ste 970,"Sacramento, CA",3360.61,0,2021-09-14,2021-09-16,Gift,true,"Boston, Massachusetts",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA",620.3,0,2021-02-25,2021-02-26,Gift,true,"Napa, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA",1914.96,0,2021-03-28,2021-04-01,Gift,true,Golden State Tour - all over CA,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA",11969.35,0,2021-10-16,2021-10-29,Gift,true,Portugal,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,California Issues Forum,1717 I Street,"Sacramento, CA",437.96,0,2021-11-09,2021-11-10,Gift,true,"Monterey, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,California Issues Forum,1717 I Street,"Sacramento, CA",1135,0,2021-12-13,2021-12-15,Gift,true,"La Jolla, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,California Tribal Business Alliance,"1530 J Street, Suite 410","Sacramento, CA",149,0,2021-09-16,2021-09-17,Gift,false,"Fallbrook, CA",Lodging for Annual Leaders Invitational Tournament,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,Democratic Legislative Campaign Committee,"1225 Eye Street, NW, Suite 1250",Washington DC,767.52,0,2021-09-27,2021-09-29,Gift,true,"Seattle, WA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,First Tee - Silicon Valley,2797 Park Avenue,"Santa Clara, CA",2200,0,2021-07-18,2021-07-20,Gift,true,"Corde Valle, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,Governor's Cup Foundation,755 Riverpoint Drive,"West Sacramento, CA",3084.29,0,2021-07-15,2021-07-17,Gift,true,"Pebble Beach, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,Independent Voter Project,"2700 Adams Avenue, Suite 202","San Diego, CA",3848.06,0,2021-11-14,2021-11-19,Gift,true,"Maui, HI",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jim Cooper,2021,"Mendocino Redwood Company, LLC","3700 Old Redwood Highway, Suite 200","Santa Rosa, CA",218.92,0,2021-05-13,2021-05-14,Gift,false,"Mendocino, CA",Lodging and meals related to educational Forestry/Mill tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9997d14d-5232-40c6-8eee-b3c66dad81ab.pdf,https://digitaldemocracy.calmatters.org/legislators/jim-cooper
Jordan Cunningham,2021,California Problem Solvers Foundation,150 Post St Suite 405,"San Francisco, CA",3055.11,0,2021-10-18,2021-10-20,Gift,true,Waldorf Astoria Monarch Beach,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ac2d8fb5-97ab-4306-a1f3-8fb9fa66c23d.pdf,https://digitaldemocracy.calmatters.org/legislators/jordan-cunningham
Jordan Cunningham,2021,Independent Voter Project,"2700 Adams Ave., Suite 202","San Diego, CA",3001,0,2021-11-15,2021-11-20,Gift,true,Hawaii,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ac2d8fb5-97ab-4306-a1f3-8fb9fa66c23d.pdf,https://digitaldemocracy.calmatters.org/legislators/jordan-cunningham
Brian Dahle,2021,The Forest Foundation,"1215 K Street, Ste. 1835","Sacramento, CA 95814",511.26,0,2021-05-20,2021-05-21,Gift,,"McCloud, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/63cedf4d-2c22-4c7f-9222-1d3afe7d3f20.pdf,https://digitaldemocracy.calmatters.org/legislators/brian-dahle-47
Brian Dahle,2023,California Forestry Foundation,"500 Capitol Mall, Suite 2360 ","Sacramento, CA 95814",479.37,0,2023-05-18,2023-05-19,Gift,false,Mt. Shasta,"Mt. Shasta Forest Tour included hotel, food, drink, and educational giftbag",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/13b936f8-ed7f-478f-bbf8-a26ae7ef1093.pdf,https://digitaldemocracy.calmatters.org/legislators/brian-dahle-47
Megan Dahle,2021,California Chamber of Commerce,1215 K street 1400,"Sacramento, CA 95814",699.66,0,2021-10-26,2021-10-27,Gift,true,"Anaheim, California",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/79980f60-8ec8-45bb-954f-ce71aef796ab.pdf,https://digitaldemocracy.calmatters.org/legislators/megan-dahle-165415
Megan Dahle,2021,The Forestry Foundation,1215 K Street Suite 1835,Sacramento CA 95814,511.26,0,2021-05-20,2021-05-21,Gift,,"McCloud, California",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/79980f60-8ec8-45bb-954f-ce71aef796ab.pdf,https://digitaldemocracy.calmatters.org/legislators/megan-dahle-165415
Megan Dahle,2023,California Forestry Foundation,"500 Capitol Mall, Suite 2360","Sacramento, CA 95814",479.37,0,2023-05-18,2023-05-19,Gift,,"Mt. Shasta, CA","Mt. Shasta Forest Tour Included hotel, food, drink, and educational oiftbao",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/a3982f63-f094-4251-84f4-ad2d500b1256.pdf,https://digitaldemocracy.calmatters.org/legislators/megan-dahle-165415
Megan Dahle,2023,California Life Sciences Association,"1201 K Street, suite 1010","Sacramento, CA 95814",380.15,0,2023-02-28,2023-03-01,Gift,true,"Yountville, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/a3982f63-f094-4251-84f4-ad2d500b1256.pdf,https://digitaldemocracy.calmatters.org/legislators/megan-dahle-165415
Tom Daly,2021,California Chamber of Commerce,"1215 K Street, Ste. 1400","Sacramento, CA, 95814",100.45,0,2021-10-27,,Gift,true,"Anaheim, California",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/29a95875-83fc-4b1f-8f83-03d9dbde2cdd.pdf,https://digitaldemocracy.calmatters.org/legislators/tom-daly
Tom Daly,2021,Independent Voter Project,"1121 L Street, Ste. 200","Sacramento, CA",3680.41,0,2021-11-14,2021-11-19,Gift,true,"Maui, Hawaii","Meals/lodging
associated with participation on panels",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/29a95875-83fc-4b1f-8f83-03d9dbde2cdd.pdf,https://digitaldemocracy.calmatters.org/legislators/tom-daly
Tom Daly,2021,John Wayne Airport,3160 Airway Avenue,"Costa Mesa, CA, 92626",300,0,2021-01-01,2021-06-01,Gift,false,,airport parking from govt agency for official travel,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/29a95875-83fc-4b1f-8f83-03d9dbde2cdd.pdf,https://digitaldemocracy.calmatters.org/legislators/tom-daly
Laurie Davies,2022,Association of California Life and Health Insurance Companies,1201 K St. Suite 1820,"Sacramento, CA",223,0,2022-10-10,2022-10-12,Gift,true,"San Diego, CA",parking imbursement,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e481beb2-d2ea-4d1c-b6b1-8d19eea9dedc.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Laurie Davies,2022,Association of California Life and Health Insurance Companies,"1201 K St, Suite 1820","Sacramento, CA",2033.78,0,2022-10-10,2022-10-12,Gift,true,"San Diego, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e481beb2-d2ea-4d1c-b6b1-8d19eea9dedc.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Laurie Davies,2022,California Independent Petroleum Association,"1001 K Street, 6th floor","Sacramento, CA",410.12,0,2022-02-24,2022-02-25,Gift,true,"Newport Beach, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e481beb2-d2ea-4d1c-b6b1-8d19eea9dedc.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Laurie Davies,2022,California Independent Petroleum Association,"1001 K Street, 6th floor","Sacramento, CA",562.74,0,2022-12-15,2022-12-16,Gift,true,"Newport Beach, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e481beb2-d2ea-4d1c-b6b1-8d19eea9dedc.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Laurie Davies,2022,John Wayne Airport,3160 Airway Avenue,"Costa Mesa, CA",550,0,2022-01-01,2022-12-31,Gift,true,"Santa Ana, CA",Parking at airport,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e481beb2-d2ea-4d1c-b6b1-8d19eea9dedc.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Laurie Davies,2023,California Foundation on the Environment and the Economy,920 11th Street,"Sacramento, CA",355.13,0,2023-09-29,2023-09-29,Gift,,"Laguna Niguel, CA",meals and transportation,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1ff2e22a-6310-4f76-ab62-12b729a9f309.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Laurie Davies,2023,California Foundation on the Environment and the Economy,920 11th Street,"Sacramento, CA",123.44,0,2023-12-07,2023-12-07,Gift,,"Laguna Niguel, CA",meal/parking,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1ff2e22a-6310-4f76-ab62-12b729a9f309.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Laurie Davies,2023,California Life Sciences Association,1201 K St. Suite 1010,"Sacramento, CA 95814",380.15,0,2023-02-28,2023-03-01,Gift,,"Yountville, CA",hotel,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1ff2e22a-6310-4f76-ab62-12b729a9f309.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Laurie Davies,2023,California Problem Solvers Foundation,"400 Capitol Mall, suite 2400","Sacramento, CA",2930.95,0,2023-11-06,2023-11-08,Gift,,"Dana Point, CA",hotel/valet/meals,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1ff2e22a-6310-4f76-ab62-12b729a9f309.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Laurie Davies,2023,John Wayne Airport,3161 Airway Avenue,"Costa Mesa, CA",550,0,2023-01-01,2023-12-31,Gift,,"Santa Ana, CA",parking at airport,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1ff2e22a-6310-4f76-ab62-12b729a9f309.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Laurie Davies,2023,Women in California Leadership,"1787 Tribute Road, Suite K","Sacramento, CA",228.83,0,2023-02-16,2023-02-16,Gift,,"Winters, CA",Transportation,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1ff2e22a-6310-4f76-ab62-12b729a9f309.pdf,https://digitaldemocracy.calmatters.org/legislators/laurie-davies-165457
Diane Dixon,2023,California Center for Construction Education,265 Hegenberger Rd,"Oakland, CA 94621",337.96,0,2023-11-30,2023-12-01,Gift,false,"Las Vegas, NV",Educational tour flight,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cd4e1129-a456-4f77-aab2-a03a57cf7771.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-dixon-165458
Diane Dixon,2023,California Independent Petroleum Association,1001 K Street Sixth Floor,"Sacramento, CA 95814",562.74,0,,,Income,true,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cd4e1129-a456-4f77-aab2-a03a57cf7771.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-dixon-165458
Diane Dixon,2023,California Problem Solvers Foundation,1121 L St Ste 105,"Sacramento, CA 95814",140,0,2023-11-06,2023-11-08,Gift,false,"Dana Point, CA",Problem Solvers Caucus member,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cd4e1129-a456-4f77-aab2-a03a57cf7771.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-dixon-165458
Diane Dixon,2023,Northern California Carpenters Union,"265 Hegenberger Rd, Ste 200","Oakland, CA 94621",271,0,2023-11-30,2023-12-01,Gift,false,"Las Vegas, NV","Educational tour hotels, meals",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cd4e1129-a456-4f77-aab2-a03a57cf7771.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-dixon-165458
Diane Dixon,2023,Specialty Equipment Market Association,"1317 F Street, NW, Ste 500","Washington, D.C. 20004",465,0,2023-11-01,2023-11-02,Gift,false,"Las Vegas, NV","SEMA Trade Show, accomodations",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cd4e1129-a456-4f77-aab2-a03a57cf7771.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-dixon-165458
Diane Dixon,2023,Women in California Leadership,"1414 K Street, Ste 250","Sacramento, CA 95814",228.83,0,2023-03-17,2023-03-17,Gift,false,Cal State East Bay Oakland Center,"Ground transportation, food/event Women in Leadership Forum",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cd4e1129-a456-4f77-aab2-a03a57cf7771.pdf,https://digitaldemocracy.calmatters.org/legislators/diane-dixon-165458
Bill Dodd,2022,California Foundation on the Environment and the Economy,"Pier 35, Ste. 202","San Francisco, CA, 94133",15045.67,0,2022-04-08,2022-04-16,Gift,true,Scotland and England,"Study travel ""project..."" transportation, ""clim..."" ",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/63be9b84-1624-48e9-9d18-723a802f78c1.pdf,https://digitaldemocracy.calmatters.org/legislators/bill-dodd-71
Bill Dodd,2022,California Foundation on the Environment and the Economy,"Pier 35, Ste. 202","San Francisco, CA, 94133",826.18,0,2022-09-07,2022-09-09,Gift,true,Tahoe,"Conference on ""Tran..."" ",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/63be9b84-1624-48e9-9d18-723a802f78c1.pdf,https://digitaldemocracy.calmatters.org/legislators/bill-dodd-71
Bill Dodd,2022,California Foundation on the Environment and the Economy,"Pier 35, Ste. 202","San Francisco, CA, 94133",761.55,0,,2022-02-04,Gift,true,Napa,"Conference on ""Fede..."" Infrastructure ""Spe...""",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/63be9b84-1624-48e9-9d18-723a802f78c1.pdf,https://digitaldemocracy.calmatters.org/legislators/bill-dodd-71
Bill Dodd,2022,Foundation for California's Technology and Innovation Economy,777 S. Figueroa Street Suite 4050,"Los Angeles, CA 90017",1630,0,2022-08-04,2022-08-05,Gift,true,Napa,"Conference on ""utili..."" ",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/63be9b84-1624-48e9-9d18-723a802f78c1.pdf,https://digitaldemocracy.calmatters.org/legislators/bill-dodd-71
Bill Dodd,2022,Independent Voter Project,"2700 Adams Avenue, Suite 202,","San Diego, CA 92116",2910,0,2022-11-13,2022-11-18,Gift,true,Hawaii,"Conference on ""bus..."" leadership",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/63be9b84-1624-48e9-9d18-723a802f78c1.pdf,https://digitaldemocracy.calmatters.org/legislators/bill-dodd-71
Susan Eggman,2021,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA 94133",673.22,0,2021-06-17,2021-06-18,Income,false,,"Telo Tech Conference, in Tahoe, CA",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/da62ea78-242c-4170-9117-fadcad5641e7.pdf,https://digitaldemocracy.calmatters.org/legislators/susan talamantes-eggman-165448
Susan Eggman,2022,California Foundation on the Environment and the Economy,920 11th Street ,"Sacramento, CA 95814 ",6087.32,0,2022-07-24,2022-07-29,Income,false,,"Recycling Tour to Canada and Maine 
",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5278a8e7-c076-44b4-b455-7f4702539d59.pdf,https://digitaldemocracy.calmatters.org/legislators/susan talamantes-eggman-165448
Susan Eggman,2022,California Foundation on the Environment and the Economy,920 11th Street ,"Sacramento, CA 95814",17875.6,0,2022-11-11,2022-11-22,Income,false,,Study Tour of Japan ,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5278a8e7-c076-44b4-b455-7f4702539d59.pdf,https://digitaldemocracy.calmatters.org/legislators/susan talamantes-eggman-165448
Susan Eggman,2022,Council of State Governments West,"1107 9th St., Suite 730 ","Sacramento, CA 95814",643.89,0,,,Income,false,, Attendance at Colorado River Forum ,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5278a8e7-c076-44b4-b455-7f4702539d59.pdf,https://digitaldemocracy.calmatters.org/legislators/susan talamantes-eggman-165448
